iter	MultiClass
0	1.089458244
1	1.081271321
2	1.07470768
3	1.069100342
4	1.064410887
5	1.060702944
6	1.057523486
7	1.054573228
8	1.052377191
9	1.050229066
10	1.04827057
11	1.046632646
12	1.045272635
13	1.04403992
14	1.042904946
15	1.041671397
16	1.040738067
17	1.039784086
18	1.038891084
19	1.038028077
20	1.03738266
21	1.03654012
22	1.036048994
23	1.035361967
24	1.034739737
25	1.03416929
26	1.033581188
27	1.033227665
28	1.032460314
29	1.031975311
30	1.031509884
31	1.031033242
32	1.030521259
33	1.029947236
34	1.029520615
35	1.029203481
36	1.028930184
37	1.028538547
38	1.028036042
39	1.027801574
40	1.027475709
41	1.027220427
42	1.026872173
43	1.026501468
44	1.026254715
45	1.026100265
46	1.025810132
47	1.025411649
48	1.024946962
49	1.024696811
50	1.024523528
51	1.024207342
52	1.02403676
53	1.023771647
54	1.023566679
55	1.023406708
56	1.023164191
57	1.022897028
58	1.022604585
59	1.022407056
60	1.02194802
61	1.021593353
62	1.021326294
63	1.021047915
64	1.020819512
65	1.020652095
66	1.020526867
67	1.02024591
68	1.020138115
69	1.019828191
70	1.019594941
71	1.01945212
72	1.01931888
73	1.019196987
74	1.019103586
75	1.018906115
76	1.01863273
77	1.018502213
78	1.018354338
79	1.018172198
80	1.017952272
81	1.017823535
82	1.01770942
83	1.017578272
84	1.017479163
85	1.017366459
86	1.017254139
87	1.017148651
88	1.016907897
89	1.016763237
90	1.016637039
91	1.016530851
92	1.016435463
93	1.016263699
94	1.016158663
95	1.015915571
96	1.01577311
97	1.015597379
98	1.015400024
99	1.015236613
100	1.015115809
101	1.014895497
102	1.014777285
103	1.014635587
104	1.01452164
105	1.014396099
106	1.014162753
107	1.014039186
108	1.01392252
109	1.013638002
110	1.013536752
111	1.013324261
112	1.013125301
113	1.013025689
114	1.012819708
115	1.012716712
116	1.012567356
117	1.012448842
118	1.012286928
119	1.011912327
120	1.011613752
121	1.011444948
122	1.01126208
123	1.011025267
124	1.010912374
125	1.010770992
126	1.010671096
127	1.0104838
128	1.01036192
129	1.010121272
130	1.009933836
131	1.009728577
132	1.00960439
133	1.009502488
134	1.00929473
135	1.00910426
136	1.008926531
137	1.008821638
138	1.00859867
139	1.008405419
140	1.008153481
141	1.007938968
142	1.007685233
143	1.007548631
144	1.007211322
145	1.007019405
146	1.006808752
147	1.006645855
148	1.006432565
149	1.006275511
150	1.005930326
151	1.005666666
152	1.005534066
153	1.005370257
154	1.005060802
155	1.004843269
156	1.004699063
157	1.004462215
158	1.00432154
159	1.004200099
160	1.00408083
161	1.003846659
162	1.003639569
163	1.003523606
164	1.003328568
165	1.003230175
166	1.003137008
167	1.002952503
168	1.002742124
169	1.002571691
170	1.002441638
171	1.002352771
172	1.002110104
173	1.00191059
174	1.001779904
175	1.001650468
176	1.001459427
177	1.001354597
178	1.001123033
179	1.00101218
180	1.000875175
181	1.000653182
182	1.000510645
183	1.000383155
184	1.000235715
185	1.000097686
186	0.9998797092
187	0.9997528397
188	0.9996492725
189	0.9994234558
190	0.9992111329
191	0.9991368294
192	0.9990129808
193	0.9988413213
194	0.9987513334
195	0.9986383755
196	0.9984746713
197	0.9982499723
198	0.9981632662
199	0.9980684747
200	0.9979253444
201	0.9978182126
202	0.9976988104
203	0.997590189
204	0.9974227286
205	0.9973147923
206	0.9971652656
207	0.9970608732
208	0.9969336313
209	0.9968381081
210	0.9966810017
211	0.9965772208
212	0.9963918448
213	0.9959957791
214	0.99585776
215	0.9957261032
216	0.995423856
217	0.9953308902
218	0.9952240965
219	0.9950408004
220	0.9949691789
221	0.9948674624
222	0.994742609
223	0.9945596238
224	0.9944502438
225	0.9942893858
226	0.994030034
227	0.9939239693
228	0.9937620347
229	0.9936648838
230	0.9935348976
231	0.9933119253
232	0.9931857654
233	0.9930746109
234	0.992997247
235	0.9929182858
236	0.9927870974
237	0.9926802101
238	0.9925917931
239	0.9923381729
240	0.9922076367
241	0.9920743874
242	0.9919312045
243	0.9917969087
244	0.9916802495
245	0.9915573667
246	0.9914562665
247	0.9913680412
248	0.9912342892
249	0.99110489
250	0.9909099742
251	0.9908187191
252	0.9906231122
253	0.990513115
254	0.9904090967
255	0.9902322944
256	0.9901025694
257	0.989986594
258	0.9898502377
259	0.9897277549
260	0.9896159716
261	0.9894932759
262	0.9893458039
263	0.9891726519
264	0.9890919356
265	0.9889886155
266	0.9888611181
267	0.9886611188
268	0.9885243515
269	0.9884418818
270	0.9883281172
271	0.9882177901
272	0.9880899204
273	0.9879933243
274	0.9878357578
275	0.9876625127
276	0.9875390635
277	0.987413114
278	0.9872842559
279	0.9871865429
280	0.9871014882
281	0.9870131168
282	0.9868997881
283	0.9867569791
284	0.9865593721
285	0.9864669704
286	0.9862785549
287	0.9861667195
288	0.9860818828
289	0.9859202852
290	0.9858080961
291	0.9856989764
292	0.9856235853
293	0.9855154374
294	0.9853750743
295	0.985273822
296	0.9851618911
297	0.9849349357
298	0.984665238
299	0.984397011
300	0.9842874822
301	0.9841927756
302	0.9840689046
303	0.9839355665
304	0.9838195734
305	0.9837306572
306	0.9834951695
307	0.9833089176
308	0.9832132036
309	0.9830894043
310	0.9829765155
311	0.9828611359
312	0.9827367636
313	0.9826159142
314	0.9825162073
315	0.9823654113
316	0.9822438934
317	0.9820854677
318	0.982003141
319	0.9819025297
320	0.9817776607
321	0.9816783766
322	0.9815746943
323	0.9814907715
324	0.9813827878
325	0.9811463233
326	0.9810400456
327	0.9808733667
328	0.9807742769
329	0.9806645397
330	0.9805021583
331	0.9804085074
332	0.9801929862
333	0.9800057699
334	0.9799115833
335	0.9798037714
336	0.9796983992
337	0.979490949
338	0.9793779298
339	0.9792722145
340	0.9791728859
341	0.9789344026
342	0.9788133306
343	0.9786529436
344	0.9784638523
345	0.9783511203
346	0.9782345401
347	0.9780967741
348	0.977995517
349	0.9778959928
350	0.9777087561
351	0.9776292426
352	0.9775422549
353	0.9774350652
354	0.9773177971
355	0.9771779283
356	0.9770965589
357	0.9769942464
358	0.9768923498
359	0.9767817902
360	0.9766941733
361	0.9766048906
362	0.976537836
363	0.976436596
364	0.9763328136
365	0.9762040849
366	0.9759895506
367	0.9759023742
368	0.9756661831
369	0.9755795554
370	0.9754636091
371	0.9752873145
372	0.9751951576
373	0.9750764431
374	0.9749839701
375	0.9748970225
376	0.9746817715
377	0.9745855675
378	0.9745109599
379	0.9743176362
380	0.9740763456
381	0.9739954012
382	0.9738791881
383	0.9737520267
384	0.9736194705
385	0.9734360193
386	0.9733457202
387	0.9732347569
388	0.9730590505
389	0.9729532264
390	0.9727178383
391	0.9726286086
392	0.9725207109
393	0.9723377066
394	0.9722102531
395	0.9720883163
396	0.9719276659
397	0.9718505907
398	0.9717614474
399	0.971648602
400	0.9715373718
401	0.9714317619
402	0.9713232739
403	0.9712195464
404	0.9711019934
405	0.9708605808
406	0.9707748535
407	0.9706695636
408	0.9705712342
409	0.9704483462
410	0.9703366391
411	0.9702580616
412	0.9701691152
413	0.9699534073
414	0.9698106028
415	0.9696767808
416	0.9695423773
417	0.9694062295
418	0.9692940699
419	0.9692184587
420	0.9691389036
421	0.969031035
422	0.9689073123
423	0.968745191
424	0.9686518388
425	0.9685505237
426	0.9684531418
427	0.9682989995
428	0.9682035901
429	0.9680954079
430	0.9679539005
431	0.9678538687
432	0.9677514579
433	0.9676410557
434	0.9675496146
435	0.9673828199
436	0.9672741048
437	0.9671713643
438	0.9670652682
439	0.9669636636
440	0.9668474751
441	0.9667561606
442	0.9666228165
443	0.9665080909
444	0.9663996863
445	0.9662888206
446	0.9661979196
447	0.966081872
448	0.9659739119
449	0.9657676187
450	0.9656247032
451	0.9654700952
452	0.9653583266
453	0.9652546807
454	0.9651222378
455	0.9650144583
456	0.9649384806
457	0.9648565919
458	0.9647739022
459	0.964650081
460	0.9645466853
461	0.9644645085
462	0.9643736284
463	0.9642485583
464	0.96416552
465	0.9640558007
466	0.9639357372
467	0.9638637821
468	0.9637497052
469	0.963629483
470	0.9633862803
471	0.9632654217
472	0.9631602003
473	0.9630728062
474	0.9629874231
475	0.9629169939
476	0.9626988843
477	0.9625723753
478	0.9624046588
479	0.962296204
480	0.9621861952
481	0.9620847062
482	0.9619877235
483	0.9619141005
484	0.9618251533
485	0.9617383866
486	0.9615699128
487	0.9614665419
488	0.9612745189
489	0.9611791764
490	0.9610727105
491	0.9609391672
492	0.9607868135
493	0.960688291
494	0.9605622722
495	0.9604734386
496	0.9603605761
497	0.9602581256
498	0.9601711677
499	0.9600678741
500	0.9599764858
501	0.9598778921
502	0.9597848852
503	0.9596894244
504	0.959583736
505	0.9594936363
506	0.9593990672
507	0.959279959
508	0.959192435
509	0.9590709431
510	0.9589361592
511	0.9588241541
512	0.9587144693
513	0.9586057006
514	0.9585154199
515	0.9583978324
516	0.9582940136
517	0.9581835837
518	0.9580689179
519	0.9579524437
520	0.9578288742
521	0.9577480306
522	0.9576663107
523	0.9574097088
524	0.9573002331
525	0.9572110207
526	0.9571007568
527	0.9570047627
528	0.9569075439
529	0.9568023754
530	0.9566887828
531	0.9565903189
532	0.956497009
533	0.956403468
534	0.9563104764
535	0.9561448503
536	0.9560449536
537	0.9559514857
538	0.9558671673
539	0.9557786245
540	0.9555795349
541	0.9554576537
542	0.9553405771
543	0.9552288678
544	0.9550737553
545	0.9549868627
546	0.954857596
547	0.9547671542
548	0.9546609186
549	0.9545507234
550	0.9544294684
551	0.9543233808
552	0.954136781
553	0.954010586
554	0.9539109173
555	0.9538175276
556	0.9537401824
557	0.9535686617
558	0.9534595185
559	0.9533245382
560	0.9532590189
561	0.9531794848
562	0.9530784424
563	0.9529679355
564	0.9527588924
565	0.9526306883
566	0.9525240482
567	0.9524473343
568	0.9522524638
569	0.9521312064
570	0.9520324864
571	0.951923837
572	0.9518456612
573	0.9517446929
574	0.9516247351
575	0.95150986
576	0.9514156334
577	0.9513330062
578	0.9512325955
579	0.95113277
580	0.9510247955
581	0.9509107163
582	0.9507884437
583	0.9506628006
584	0.950578241
585	0.9504721342
586	0.9503733903
587	0.9501793141
588	0.9500901871
589	0.9500246435
590	0.9499410183
591	0.9498766899
592	0.94976746
593	0.9496484148
594	0.9495664965
595	0.9494736522
596	0.9493313515
597	0.9492526888
598	0.9491624964
599	0.9490890859
600	0.949016063
601	0.9489393066
602	0.9488260707
603	0.9487170988
604	0.9486054624
605	0.9485162018
606	0.9484389964
607	0.9482637583
608	0.9481401794
609	0.9479806555
610	0.9478978426
611	0.9477937832
612	0.9477021199
613	0.9475822593
614	0.9475172797
615	0.9474147716
616	0.9473094552
617	0.9472186237
618	0.9470839454
619	0.9469810877
620	0.9468744466
621	0.9467674801
622	0.9466833601
623	0.9465958776
624	0.9464710564
625	0.9463586749
626	0.9462509608
627	0.9461676394
628	0.9460960113
629	0.9459765665
630	0.9458299174
631	0.9457507025
632	0.945668067
633	0.945554251
634	0.9454453471
635	0.9453341754
636	0.9452591454
637	0.94500774
638	0.9448984848
639	0.9447578373
640	0.9446664004
641	0.9445363453
642	0.9444677375
643	0.9443567975
644	0.9442771523
645	0.9442006606
646	0.9441173907
647	0.9440107439
648	0.9439318103
649	0.9437830852
650	0.9437007768
651	0.9436112366
652	0.9435319451
653	0.9433491043
654	0.9432693521
655	0.9431736823
656	0.9430516025
657	0.9429493966
658	0.9428656214
659	0.9427547978
660	0.942662607
661	0.942576151
662	0.9424941389
663	0.9424115537
664	0.942301888
665	0.9421620395
666	0.9420066159
667	0.9419216941
668	0.9418396894
669	0.9417551042
670	0.9416391036
671	0.9415225708
672	0.94141161
673	0.9413146805
674	0.9411780991
675	0.9410822965
676	0.9409678705
677	0.9408960141
678	0.9408165556
679	0.9407023491
680	0.9406244052
681	0.9405476388
682	0.940400106
683	0.9403321026
684	0.9402414016
685	0.9401301826
686	0.9399887945
687	0.9399172709
688	0.9398176868
689	0.9397372351
690	0.939610575
691	0.9395153178
692	0.9394054102
693	0.9392956709
694	0.9391990387
695	0.9391348063
696	0.9390448754
697	0.9389611299
698	0.938860686
699	0.9387495808
700	0.9385848883
701	0.9384819021
702	0.9383790349
703	0.9382737668
704	0.9381389457
705	0.9380504674
706	0.9379460415
707	0.9378262841
708	0.9377314579
709	0.9376018497
710	0.9374820163
711	0.9373256504
712	0.9372431666
713	0.9371591684
714	0.9370710693
715	0.9369906585
716	0.9368816253
717	0.9367935622
718	0.9366892447
719	0.9366018211
720	0.9365207383
721	0.9364429252
722	0.9363473677
723	0.9362438334
724	0.9361451442
725	0.936065335
726	0.9359893156
727	0.9359134461
728	0.9358495785
729	0.9357637598
730	0.9356725003
731	0.9355820777
732	0.9354742465
733	0.9353699685
734	0.9352801639
735	0.9351829297
736	0.9349623018
737	0.9348408669
738	0.9347297553
739	0.9345214606
740	0.9344358675
741	0.9343208341
742	0.9342196316
743	0.9341649225
744	0.9340831853
745	0.9339765249
746	0.9338597467
747	0.9337817076
748	0.9336885699
749	0.9335970979
750	0.9334886788
751	0.9333839526
752	0.9333112931
753	0.9332204607
754	0.9331098131
755	0.9329497679
756	0.9328548162
757	0.9327449461
758	0.932652238
759	0.9325718157
760	0.9325012712
761	0.9324169593
762	0.9323376801
763	0.9322712272
764	0.9321144464
765	0.9320103487
766	0.9319009318
767	0.9318026125
768	0.9316597112
769	0.9315293783
770	0.9314162037
771	0.9313002713
772	0.9312189391
773	0.931161739
774	0.9310583619
775	0.9309791005
776	0.9308200439
777	0.9307342288
778	0.9306536412
779	0.9305614838
780	0.9304745457
781	0.9303871378
782	0.9302982162
783	0.9302009624
784	0.9301017096
785	0.9299882826
786	0.9299003799
787	0.9298090055
788	0.9297137692
789	0.9296277945
790	0.9295153188
791	0.929436968
792	0.9293280301
793	0.9292607398
794	0.9291010793
795	0.9290132511
796	0.9288878765
797	0.9287695049
798	0.9286873396
799	0.9285796879
800	0.9284763056
801	0.9283480245
802	0.9282208373
803	0.9281179203
804	0.9280363107
805	0.9279245154
806	0.9278342957
807	0.9277256539
808	0.9276015759
809	0.9275029748
810	0.9274180281
811	0.9272863213
812	0.9272149457
813	0.9271261951
814	0.9270340024
815	0.9269145584
816	0.9268050814
817	0.9267374101
818	0.9266548395
819	0.9265566204
820	0.9264770748
821	0.9263762189
822	0.9262660411
823	0.9261854466
824	0.9261040567
825	0.9260000498
826	0.9259044402
827	0.9257534129
828	0.9256817616
829	0.9256226901
830	0.9255326551
831	0.9254504041
832	0.9253750158
833	0.9251995851
834	0.9251091002
835	0.9250179319
836	0.9249034432
837	0.9248029586
838	0.9246704516
839	0.9245650119
840	0.9244065935
841	0.9242945727
842	0.9242085361
843	0.924127562
844	0.9240145721
845	0.9239398265
846	0.9238437943
847	0.9237337807
848	0.9236459168
849	0.9235280223
850	0.9234431911
851	0.9233568921
852	0.9232522363
853	0.9231553671
854	0.9230519894
855	0.9229403524
856	0.9228096919
857	0.9226921623
858	0.9226220023
859	0.9225369816
860	0.922443421
861	0.9223454057
862	0.9222641922
863	0.9221750006
864	0.9221050536
865	0.9219561524
866	0.921880491
867	0.9217564672
868	0.9216575227
869	0.9215663572
870	0.9214839367
871	0.9213916779
872	0.921298207
873	0.9211843809
874	0.9210685607
875	0.9209802346
876	0.9209021084
877	0.9208140278
878	0.9207240992
879	0.9206231222
880	0.9204998161
881	0.9203880966
882	0.9202958445
883	0.9201937701
884	0.9201045693
885	0.9199719529
886	0.9198856723
887	0.9197067074
888	0.9196161528
889	0.9195230307
890	0.9194127428
891	0.9193248713
892	0.9192330408
893	0.9191179031
894	0.9190224279
895	0.9189407319
896	0.9188463475
897	0.9186931069
898	0.9185769327
899	0.9184618369
900	0.9183447456
901	0.9182605486
902	0.9181599692
903	0.9180704007
904	0.917992902
905	0.9178867079
906	0.9178029768
907	0.9176924019
908	0.9176080294
909	0.9173996098
910	0.9173142943
911	0.9172264498
912	0.9171377526
913	0.9170232596
914	0.9169306269
915	0.9168726099
916	0.916784849
917	0.9166836624
918	0.9166002229
919	0.91648942
920	0.9163893661
921	0.9163184525
922	0.9162242818
923	0.9160685535
924	0.9159636229
925	0.915856022
926	0.9157393247
927	0.915659112
928	0.9155620641
929	0.9154827461
930	0.9153300117
931	0.915236981
932	0.9151034327
933	0.9150142123
934	0.9149246075
935	0.9148166187
936	0.9147359425
937	0.9146264451
938	0.9145445434
939	0.9144658428
940	0.9143741966
941	0.9142731342
942	0.9141962528
943	0.9141122079
944	0.9140156998
945	0.9137762962
946	0.9136086184
947	0.9135510266
948	0.9134623319
949	0.9133717987
950	0.9132818099
951	0.9131606117
952	0.9130771962
953	0.9129669315
954	0.9128850923
955	0.9127823923
956	0.9126901334
957	0.9126157966
958	0.9125446972
959	0.9124651279
960	0.9123539306
961	0.9122576897
962	0.9121711471
963	0.9121007048
964	0.9119897131
965	0.9118314864
966	0.9117050166
967	0.9116133834
968	0.9115174379
969	0.911421054
970	0.9113102233
971	0.9112285778
972	0.911151313
973	0.9110722539
974	0.9109812638
975	0.9109038669
976	0.9108297662
977	0.9107482942
978	0.9106332692
979	0.9105289392
980	0.910460637
981	0.910365826
982	0.9102950922
983	0.9102130514
984	0.9101209685
985	0.9100553456
986	0.909966913
987	0.9098713891
988	0.9097742928
989	0.9096954701
990	0.9096058921
991	0.9094950189
992	0.9094159969
993	0.9092948884
994	0.9091872301
995	0.9091205321
996	0.9090349709
997	0.908946361
998	0.9088624471
999	0.9087776696
